Datetime,Open,High,Low,Close,Volume,OpenInterest,OI_Change
2025-05-16,448.0,458.7,448.0,449.4,5,5.0,0.0
2025-05-23,453.3,465.1,444.3,450.8,13,5.0,0.0
2025-06-13,458.0,501.8,458.0,490.1,11,6.0,1.0
2025-06-20,492.9,509.1,478.5,506.1,19,8.0,2.0
2025-06-27,504.6,511.6,466.1,476.5,37,23.0,15.0
2025-07-04,481.0,481.0,464.0,473.1,13,25.0,2.0
2025-07-11,478.9,479.4,474.3,475.2,6,24.0,-1.0
2025-07-18,489.2,489.4,474.5,474.5,27,30.0,6.0
2025-07-25,486.3,486.4,478.9,486.4,12,37.0,7.0
2025-08-01,488.0,505.0,487.7,502.5,19,32.0,-5.0
2025-08-08,502.5,502.5,469.6,470.6,241,176.0,144.0
2025-08-15,474.8,476.6,467.5,476.4,205,219.0,43.0
2025-08-22,474.0,485.3,471.4,483.8,432,354.0,135.0
2025-08-29,484.1,487.5,476.8,477.0,292,419.0,65.0
2025-09-05,478.9,485.7,471.1,471.1,222,354.0,-65.0
2025-09-12,468.9,486.5,463.7,475.7,1596,729.0,375.0
2025-09-19,485.1,492.2,481.8,482.8,528,849.0,120.0
2025-09-26,481.2,492.2,471.5,490.8,295,842.0,-7.0
2025-10-03,492.5,497.2,477.6,478.1,538,745.0,-97.0
2025-10-10,478.1,478.1,463.1,463.3,283,842.0,97.0
2025-10-17,458.0,459.1,438.2,440.4,981,1185.0,343.0
2025-10-24,443.7,470.9,440.8,467.2,1961,1556.0,371.0
2025-10-31,470.0,471.6,458.5,460.4,1245,2001.0,445.0
2025-11-07,465.8,469.5,457.2,462.9,616,2102.0,101.0
2025-11-14,462.3,472.4,454.7,461.0,1524,2361.0,259.0
2025-11-21,462.5,469.5,451.0,452.5,2163,2682.0,321.0
2025-11-28,452.6,458.6,445.2,456.3,2219,3175.0,493.0
2025-12-05,454.0,460.3,447.9,455.3,2094,3215.0,40.0
2025-12-12,456.0,461.5,437.9,441.4,2824,3497.0,282.0
2025-12-19,439.0,440.8,422.8,429.6,3166,4331.0,834.0
2025-12-26,431.9,446.3,431.0,442.8,4526,4125.0,-206.0
2026-01-02,441.5,442.4,433.0,433.3,3745,5228.0,1103.0
2026-01-09,433.4,438.6,418.4,436.3,15889,6659.0,1431.0
2026-01-16,435.4,460.9,433.6,441.9,26739,7509.0,850.0
2026-01-23,444.4,450.3,435.0,444.6,27802,8738.0,1229.0
2026-01-30,447.1,503.5,446.0,474.0,89081,15323.0,6585.0
2026-02-06,480.2,489.8,451.2,468.5,75509,14246.0,-1077.0
